date,open,high,low,close,volume,average,barCount
2025-02-06 09:30:00-05:00,1.399,1.4,1.38,1.3887,67024.0,1.38248,26
2025-02-06 09:31:00-05:00,1.385,1.4083,1.38,1.39,33272.0,1.39777,77
2025-02-06 09:32:00-05:00,1.395,1.4,1.3901,1.3901,5064.0,1.39594,10
2025-02-06 09:33:00-05:00,1.3938,1.4,1.39,1.395,12172.0,1.39411,13
2025-02-06 09:34:00-05:00,1.395,1.42,1.3905,1.415,50944.0,1.40802,58
2025-02-06 09:35:00-05:00,1.42,1.42,1.41,1.415,35519.0,1.41821,20
2025-02-06 09:36:00-05:00,1.4172,1.4199,1.3929,1.395,22577.0,1.40644,52
2025-02-06 09:37:00-05:00,1.395,1.4,1.3938,1.4,31530.0,1.39564,77
2025-02-06 09:38:00-05:00,1.3901,1.4,1.39,1.3938,6080.0,1.39411,7
2025-02-06 09:39:00-05:00,1.395,1.3991,1.3895,1.3895,47095.0,1.3905,74
2025-02-06 09:40:00-05:00,1.39,1.39,1.38,1.39,26580.0,1.38631,18
2025-02-06 09:41:00-05:00,1.39,1.39,1.39,1.39,600.0,1.39,1
2025-02-06 09:42:00-05:00,1.385,1.39,1.38,1.389,1014.0,1.38357,4
2025-02-06 09:43:00-05:00,1.3898,1.39,1.3836,1.3899,8755.0,1.38976,6
2025-02-06 09:44:00-05:00,1.3895,1.42,1.3822,1.4101,32606.0,1.40222,40
2025-02-06 09:45:00-05:00,1.41,1.4168,1.4,1.405,30609.0,1.40845,23
2025-02-06 09:46:00-05:00,1.4101,1.42,1.4,1.405,39107.0,1.41005,22
2025-02-06 09:47:00-05:00,1.4001,1.41,1.39,1.395,18367.0,1.40107,37
2025-02-06 09:48:00-05:00,1.395,1.395,1.395,1.395,0.0,1.395,0
2025-02-06 09:49:00-05:00,1.39,1.4,1.39,1.4,857.0,1.3914,3
2025-02-06 09:50:00-05:00,1.3986,1.3986,1.37,1.382,59261.0,1.38533,78
2025-02-06 09:51:00-05:00,1.38,1.3888,1.38,1.385,3557.0,1.38305,7
2025-02-06 09:52:00-05:00,1.3885,1.3895,1.3822,1.383,6492.0,1.38385,6
2025-02-06 09:53:00-05:00,1.38,1.3862,1.38,1.38,1201.0,1.38103,4
2025-02-06 09:54:00-05:00,1.38,1.38,1.37,1.38,78635.0,1.37685,77
2025-02-06 09:55:00-05:00,1.3814,1.385,1.38,1.385,2878.0,1.38062,4
2025-02-06 09:56:00-05:00,1.3885,1.3888,1.38,1.3888,4832.0,1.38376,6
2025-02-06 09:57:00-05:00,1.385,1.3888,1.385,1.3888,706.0,1.38742,2
2025-02-06 09:58:00-05:00,1.385,1.385,1.385,1.385,250.0,1.385,1
2025-02-06 09:59:00-05:00,1.3893,1.3893,1.3805,1.3862,6243.0,1.38846,3
2025-02-06 10:00:00-05:00,1.3805,1.385,1.38,1.385,10723.0,1.38024,6
2025-02-06 10:01:00-05:00,1.385,1.385,1.385,1.385,0.0,1.385,0
2025-02-06 10:02:00-05:00,1.38,1.38,1.37,1.37,36983.0,1.37243,18
2025-02-06 10:03:00-05:00,1.375,1.38,1.37,1.3795,12000.0,1.37786,19
2025-02-06 10:04:00-05:00,1.38,1.38,1.37,1.3717,17229.0,1.37351,17
2025-02-06 10:05:00-05:00,1.3786,1.3786,1.37,1.37,898.0,1.37142,3
