date,open,high,low,close,volume,average,barCount
2025-02-20 09:30:00-05:00,31.47,31.48,30.84,30.92,52779.0,31.255,128
2025-02-20 09:31:00-05:00,30.84,31.12,30.75,30.75,149470.0,30.839,168
2025-02-20 09:32:00-05:00,30.77,30.99,30.6,30.6,25541.0,30.842,97
2025-02-20 09:33:00-05:00,30.5,30.76,30.5,30.65,8728.0,30.608,52
2025-02-20 09:34:00-05:00,30.55,30.68,30.52,30.68,11011.0,30.594,55
2025-02-20 09:35:00-05:00,30.66,30.73,30.51,30.57,17724.0,30.614,82
2025-02-20 09:36:00-05:00,30.52,30.69,30.4,30.56,32791.0,30.495,175
2025-02-20 09:37:00-05:00,30.57,30.76,30.51,30.51,7511.0,30.641,29
2025-02-20 09:38:00-05:00,30.55,30.72,30.45,30.49,15545.0,30.513,51
2025-02-20 09:39:00-05:00,30.46,30.51,29.83,29.89,143685.0,30.036,561
2025-02-20 09:40:00-05:00,29.85,30.14,29.84,30.1,16447.0,30.001,114
2025-02-20 09:41:00-05:00,30.07,30.25,30.0,30.16,23601.0,30.108,116
2025-02-20 09:42:00-05:00,30.15,30.15,29.95,30.01,16716.0,30.01,95
2025-02-20 09:43:00-05:00,30.01,30.04,29.83,29.98,26614.0,29.917,109
2025-02-20 09:44:00-05:00,30.01,30.02,29.81,29.85,31068.0,29.885,97
2025-02-20 09:45:00-05:00,29.85,30.03,29.8,30.0,18145.0,29.889,73
2025-02-20 09:46:00-05:00,29.91,30.08,29.8,29.91,16211.0,29.956,53
2025-02-20 09:47:00-05:00,29.94,29.96,29.76,29.79,39057.0,29.846,78
2025-02-20 09:48:00-05:00,29.8,29.92,29.71,29.75,10102.0,29.78,54
2025-02-20 09:49:00-05:00,29.71,29.86,29.7,29.76,11803.0,29.749,49
2025-02-20 09:50:00-05:00,29.7,29.85,29.68,29.81,17529.0,29.74,80
2025-02-20 09:51:00-05:00,29.75,29.76,29.61,29.62,12921.0,29.684,58
2025-02-20 09:52:00-05:00,29.66,29.8,29.61,29.65,11968.0,29.71,49
2025-02-20 09:53:00-05:00,29.65,29.74,29.61,29.73,20606.0,29.684,102
2025-02-20 09:54:00-05:00,29.75,29.88,29.61,29.63,19613.0,29.779,63
2025-02-20 09:55:00-05:00,29.62,29.69,29.4,29.54,32897.0,29.492,144
2025-02-20 09:56:00-05:00,29.52,29.66,29.41,29.49,15215.0,29.531,61
