date,open,high,low,close,volume,average,barCount
2025-02-11 09:30:00-05:00,40.59,40.72,39.8,39.93,2102792.0,40.286,5202
2025-02-11 09:31:00-05:00,39.92,40.46,39.88,40.23,763405.0,40.183,2856
2025-02-11 09:32:00-05:00,40.22,40.71,40.11,40.62,651588.0,40.456,2206
2025-02-11 09:33:00-05:00,40.64,40.81,40.47,40.78,699664.0,40.655,2538
2025-02-11 09:34:00-05:00,40.8,40.8,40.18,40.61,757457.0,40.47,3042
2025-02-11 09:35:00-05:00,40.62,40.65,40.19,40.52,536459.0,40.393,2220
2025-02-11 09:36:00-05:00,40.5,40.94,40.33,40.91,510533.0,40.651,1972
2025-02-11 09:37:00-05:00,40.92,40.92,40.25,40.64,520529.0,40.519,2301
2025-02-11 09:38:00-05:00,40.64,40.95,40.61,40.92,450839.0,40.832,1691
2025-02-11 09:39:00-05:00,40.91,41.48,40.83,41.37,1069700.0,41.098,4017
2025-02-11 09:40:00-05:00,41.38,41.38,40.94,41.24,793305.0,41.134,2967
2025-02-11 09:41:00-05:00,41.26,41.43,41.16,41.31,655852.0,41.303,2267
2025-02-11 09:42:00-05:00,41.31,41.34,41.02,41.03,520535.0,41.194,1941
2025-02-11 09:43:00-05:00,41.06,41.3,40.9,41.28,463956.0,41.097,1689
2025-02-11 09:44:00-05:00,41.29,41.42,40.98,41.36,489973.0,41.264,2135
2025-02-11 09:45:00-05:00,41.34,41.41,41.12,41.38,293111.0,41.296,1113
2025-02-11 09:46:00-05:00,41.37,41.55,41.3,41.52,560039.0,41.454,2198
2025-02-11 09:47:00-05:00,41.53,41.55,41.32,41.39,398645.0,41.452,1465
2025-02-11 09:48:00-05:00,41.39,41.48,41.25,41.31,264955.0,41.376,1130
2025-02-11 09:49:00-05:00,41.33,41.47,41.3,41.31,286988.0,41.404,1091
2025-02-11 09:50:00-05:00,41.32,41.45,41.32,41.43,205879.0,41.392,841
2025-02-11 09:51:00-05:00,41.44,41.49,41.2,41.38,291343.0,41.336,1215
2025-02-11 09:52:00-05:00,41.38,41.82,41.36,41.8,433074.0,41.631,1530
2025-02-11 09:53:00-05:00,41.82,41.84,41.67,41.76,398135.0,41.774,1349
2025-02-11 09:54:00-05:00,41.76,41.82,41.53,41.79,347826.0,41.688,1249
2025-02-11 09:55:00-05:00,41.79,41.85,41.66,41.74,207367.0,41.779,772
2025-02-11 09:56:00-05:00,41.74,41.95,41.66,41.93,367687.0,41.814,1189
2025-02-11 09:57:00-05:00,41.94,42.27,41.88,42.15,786940.0,42.113,2260
2025-02-11 09:58:00-05:00,42.16,42.3,41.91,42.26,616649.0,42.095,2445
2025-02-11 09:59:00-05:00,42.26,42.39,41.99,42.13,642967.0,42.134,1619
2025-02-11 10:00:00-05:00,42.13,42.25,41.72,41.85,549495.0,41.928,1787
2025-02-11 10:01:00-05:00,41.86,42.22,41.85,42.11,437832.0,42.119,1388
2025-02-11 10:02:00-05:00,42.13,42.17,41.79,41.88,332156.0,41.957,1141
2025-02-11 10:03:00-05:00,41.91,41.96,41.61,41.72,544575.0,41.753,1560
2025-02-11 10:04:00-05:00,41.69,41.9,41.69,41.87,264295.0,41.794,888
2025-02-11 10:05:00-05:00,41.89,42.13,41.8,42.08,417142.0,42.009,1586
2025-02-11 10:06:00-05:00,42.08,42.1,41.86,41.94,271635.0,41.974,684
2025-02-11 10:07:00-05:00,41.96,42.07,41.85,41.85,292265.0,41.97,889
2025-02-11 10:08:00-05:00,41.85,41.9,41.44,41.49,589006.0,41.598,1966
2025-02-11 10:09:00-05:00,41.5,41.74,41.43,41.48,290551.0,41.56,1103
2025-02-11 10:10:00-05:00,41.47,41.6,41.26,41.29,405329.0,41.405,1367
2025-02-11 10:11:00-05:00,41.29,41.64,41.24,41.62,285782.0,41.393,997
2025-02-11 10:12:00-05:00,41.64,41.81,41.35,41.44,278599.0,41.547,816
2025-02-11 10:13:00-05:00,41.42,41.6,41.31,41.44,225069.0,41.423,839
2025-02-11 10:14:00-05:00,41.45,41.54,41.37,41.43,137590.0,41.46,505
2025-02-11 10:15:00-05:00,41.44,41.56,41.13,41.18,275105.0,41.295,849
2025-02-11 10:16:00-05:00,41.19,41.3,41.01,41.21,342707.0,41.131,1299
2025-02-11 10:17:00-05:00,41.21,41.43,41.2,41.41,232672.0,41.307,711
2025-02-11 10:18:00-05:00,41.4,41.42,41.03,41.05,205130.0,41.226,698
2025-02-11 10:19:00-05:00,41.08,41.17,40.52,40.53,868778.0,40.823,2521
2025-02-11 10:20:00-05:00,40.52,40.68,40.37,40.47,769356.0,40.517,2210
2025-02-11 10:21:00-05:00,40.47,40.72,40.44,40.65,423279.0,40.606,1318
2025-02-11 10:22:00-05:00,40.62,40.72,40.4,40.48,345811.0,40.543,1101
2025-02-11 10:23:00-05:00,40.5,40.65,40.43,40.54,249038.0,40.533,867
2025-02-11 10:24:00-05:00,40.52,40.88,40.51,40.78,311459.0,40.75,971
2025-02-11 10:25:00-05:00,40.78,40.81,40.51,40.75,247407.0,40.671,856
