2025-02-25 12:52:00,394 - src.tradelab.data.fetcher - INFO - Data will be saved to: D:\TradeLAB\data\raw
2025-02-25 12:52:00,401 - src.tradelab.data.fetcher - INFO - Fetching data for MKZR from 2025-01-27 to 2025-02-24
2025-02-25 12:52:00,532 - src.tradelab.data.fetcher - WARNING - Found gaps in data:
2025-02-25 12:52:00,533 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-27 10:25:00-05:00, duration: 0 days 00:14:00
2025-02-25 12:52:00,533 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-27 13:37:00-05:00, duration: 0 days 03:12:00
2025-02-25 12:52:00,533 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-27 14:51:00-05:00, duration: 0 days 01:14:00
2025-02-25 12:52:00,533 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-27 15:02:00-05:00, duration: 0 days 00:11:00
2025-02-25 12:52:00,534 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-27 15:20:00-05:00, duration: 0 days 00:18:00
2025-02-25 12:52:00,534 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-27 15:24:00-05:00, duration: 0 days 00:04:00
2025-02-25 12:52:00,664 - src.tradelab.data.fetcher - WARNING - Found gaps in data:
2025-02-25 12:52:00,665 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-28 10:09:00-05:00, duration: 0 days 00:36:00
2025-02-25 12:52:00,665 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-28 11:19:00-05:00, duration: 0 days 01:10:00
2025-02-25 12:52:00,666 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-28 12:02:00-05:00, duration: 0 days 00:41:00
2025-02-25 12:52:00,666 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-28 12:13:00-05:00, duration: 0 days 00:07:00
2025-02-25 12:52:00,666 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-28 12:31:00-05:00, duration: 0 days 00:18:00
2025-02-25 12:52:00,667 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-28 13:10:00-05:00, duration: 0 days 00:38:00
2025-02-25 12:52:00,667 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-28 13:40:00-05:00, duration: 0 days 00:30:00
2025-02-25 12:52:00,802 - src.tradelab.data.fetcher - WARNING - Found gaps in data:
2025-02-25 12:52:00,803 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-29 11:05:00-05:00, duration: 0 days 01:23:00
2025-02-25 12:52:00,803 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-29 11:09:00-05:00, duration: 0 days 00:03:00
2025-02-25 12:52:00,803 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-29 11:39:00-05:00, duration: 0 days 00:29:00
2025-02-25 12:52:00,803 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-29 11:41:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:00,803 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-29 14:52:00-05:00, duration: 0 days 03:11:00
2025-02-25 12:52:00,805 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-29 15:56:00-05:00, duration: 0 days 01:04:00
2025-02-25 12:52:00,805 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-29 15:59:00-05:00, duration: 0 days 00:03:00
2025-02-25 12:52:00,977 - src.tradelab.data.fetcher - WARNING - Found gaps in data:
2025-02-25 12:52:00,978 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-30 09:51:00-05:00, duration: 0 days 00:21:00
2025-02-25 12:52:00,979 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-30 10:11:00-05:00, duration: 0 days 00:19:00
2025-02-25 12:52:00,979 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-30 10:18:00-05:00, duration: 0 days 00:07:00
2025-02-25 12:52:00,980 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-30 10:20:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:00,980 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-30 10:23:00-05:00, duration: 0 days 00:03:00
2025-02-25 12:52:00,980 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-30 10:26:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:00,981 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-30 10:29:00-05:00, duration: 0 days 00:03:00
2025-02-25 12:52:00,982 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-30 11:01:00-05:00, duration: 0 days 00:32:00
2025-02-25 12:52:00,982 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-30 11:06:00-05:00, duration: 0 days 00:05:00
2025-02-25 12:52:00,982 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-30 11:17:00-05:00, duration: 0 days 00:11:00
2025-02-25 12:52:00,982 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-30 11:59:00-05:00, duration: 0 days 00:42:00
2025-02-25 12:52:00,982 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-30 12:05:00-05:00, duration: 0 days 00:06:00
2025-02-25 12:52:00,983 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-30 12:35:00-05:00, duration: 0 days 00:30:00
2025-02-25 12:52:00,983 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-30 13:34:00-05:00, duration: 0 days 00:59:00
2025-02-25 12:52:00,983 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-30 13:36:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:00,983 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-30 14:19:00-05:00, duration: 0 days 00:43:00
2025-02-25 12:52:00,983 - src.tradelab.data.fetcher - WARNING - Gap at 2025-01-30 14:39:00-05:00, duration: 0 days 00:20:00
